a,b,c,d,e,f
-1.5045772464396598,54.993071575408294,6.9274639033175704,86.9,5.5,2560.0
-1.42714573360076,54.8494581291383,7.063881396292571,94.0,5.7,2520.0
-1.4188578263140903,54.8896587207214,6.95297963554424,94.8,5.6,2618.0
-1.5797214930548602,55.387799171592796,6.72133890148414,80.4,5.1,3012.0
-1.5962427362696001,55.05881660443621,6.93629760531976,94.6,5.4,2663.0
-1.8515977512110902,54.5303636547097,6.7500778018908205,86.2,6.0,2071.0
-1.57149564582069,54.7906341199677,6.87503402651168,89.7,5.7,2576.0
-1.5837113367992601,54.974639938905796,6.90460763412805,87.2,5.5,2603.0
-1.6464380460799302,54.946339211432,6.980495266908781,85.8,5.6,2574.0
-1.7078469348883998,55.46855189065929,6.766867861131179,81.8,5.0,2906.0
-1.44411649623002,54.9323432141637,6.94022199729789,87.8,5.6,2502.0
-1.6433992671199,54.905000637073094,6.8511150900684,86.5,5.6,2475.0
-1.51517102860858,54.639942476017,6.982567777235251,93.6,5.9,2574.0
-1.39354247476076,54.7925946359015,6.97460489386379,95.1,5.7,2563.0
-1.4663596588560301,54.400857466121295,6.98372856324926,94.7,6.1,2560.0
-1.50615710762195,54.921014009994,6.9175512557669405,87.0,5.6,2626.0
-1.82782274429453,55.500795219993805,6.6380747633307395,80.4,5.0,2814.0
-1.53956022437067,55.2775462428323,6.86601393441508,78.8,5.2,2823.0
-1.5991777132730702,54.860790387493495,6.96632483836066,87.9,5.6,2555.0
-1.53949005488406,55.0158803696986,6.92010717481104,87.2,5.5,2601.0
-1.7105007155304,55.80851249877621,6.807052006678259,80.6,4.7,2916.0
-1.61807248701848,54.6604369089874,7.00866765066234,87.4,5.8,2528.0
-1.76895195195311,55.302890717817796,6.719473600746619,80.0,5.2,2948.0
-1.6149332622510502,55.1097089549876,7.02207643424257,93.1,5.4,2489.0
-1.67546191271505,55.3343891697228,6.95100362602622,84.9,5.2,2563.0
-1.5079123034501698,54.762000821118896,6.9375108315034195,87.5,5.7,2480.0
-1.3763643228217,54.259719740464796,6.90640645414063,95.0,6.2,2503.0
-1.6353583515962902,56.0324675662224,6.80778113482541,79.3,4.5,2811.0
-1.67453085604123,55.672446845257795,6.80272532179137,80.1,4.8,2726.0
-1.55421656637859,54.666574245659504,6.87174086428182,87.7,5.8,2577.0
-1.45669824181299,54.856674844645205,6.96601669854396,87.3,5.6,2501.0
-1.5603180275674298,54.76144580121839,6.93943467651765,87.8,5.7,2541.0
-1.80281870117729,55.721868719545895,6.85180078613302,80.3,4.8,2903.0
-1.4958820286508798,54.899668799948905,6.96163214217099,88.5,5.6,2532.0
-1.7185687156984402,55.971239706484006,6.981668640574321,80.5,4.5,2821.0
-1.54791745188846,54.7587503514514,7.03994290253564,93.7,5.7,2610.0
-1.8351783624623002,54.836964947268896,6.7588988983453095,86.4,5.7,1979.0
-1.4861269312670002,54.7918181873612,6.986149764932491,94.7,5.7,2575.0
-1.72989026245544,54.851439304173496,6.87067464200156,87.2,5.6,2084.0
-1.7010901167597903,55.3711531194386,6.91541890067755,79.8,5.1,2839.0
-1.5355167705159802,55.0975543168299,7.04587405132267,93.6,5.4,2588.0
-1.61043944051187,54.5655887996908,6.84505258312345,87.5,5.9,2150.0
-1.58657107345002,54.4731358674158,6.8746451365905,87.4,6.0,1999.0
-1.4006991543693301,54.8904330656749,7.05197394196255,93.7,5.6,2529.0
-1.32208005283107,54.58139094790871,7.06822903886592,94.7,5.9,2611.0
-1.18077090444725,54.7844698488359,7.00058890212461,95.0,5.7,2533.0
-1.5062380776275501,54.448180352086496,6.968832908025201,95.0,6.1,2496.0
-1.56162238564276,55.0212057229611,7.0391179896544,87.2,5.5,2525.0
-1.40865979877917,54.732887918400095,6.9606053062644895,87.4,5.8,2561.0
-1.49257429364501,54.781523724516,6.93426081613732,88.5,5.7,2518.0
-1.7136521401500902,55.699826456381395,6.827510083588249,79.3,4.8,2727.0
-1.40254612652163,54.7311276868381,6.97030706189814,94.8,5.8,2507.0
