"id","name","gender","age","class","embarked","country","ticketno","fare","sibsp","parch","survived"
"1","Abbing, Mr. Anthony","male",42,"3rd","S","United States",5547,7.11,"0","0","no"
"2","Abbott, Mr. Eugene Joseph","male",13,"3rd","S","United States",2673,20.05,"0","2","no"
"3","Abbott, Mr. Rossmore Edward","male",16,"3rd","S","United States",2673,20.05,"1","1","no"
"4","Abbott, Mrs. Rhoda Mary 'Rosa'","female",39,"3rd","S","England",2673,20.05,"1","1","yes"
"5","Abelseth, Miss. Karen Marie","female",16,"3rd","S","Norway",348125,7.13,"0","0","yes"
"6","Abelseth, Mr. Olaus Jørgensen","male",25,"3rd","S","United States",348122,7.13,"0","0","yes"
"7","Abelson, Mr. Samuel","male",30,"2nd","C","France",3381,24,"1","0","no"
"8","Abelson, Mrs. Hannah","female",28,"2nd","C","France",3381,24,"1","0","yes"
"9","Abī-Al-Munà, Mr. Nāsīf Qāsim","male",27,"3rd","C","Lebanon",2699,18.1509,"0","0","yes"
"10","Abrahamsson, Mr. Abraham August Johannes","male",20,"3rd","S","Finland",3101284,7.1806,"0","0","yes"
"11","Ådahl, Mr. Mauritz","male",30,"3rd","S","Sweden",7076,7.05,"0","0","no"
"12","Adams, Mr. John","male",27,"3rd","S","England",341826,8.01,"0","0","no"
"13","Ahlin, Mrs. Johanna Persdotter","female",40,"3rd","S","Sweden",7546,9.0906,"1","0","no"
"14","Aks, Master. Frank Philip","male",0.8333333333,"3rd","S","England",392091,9.07,"0","1","yes"
"15","Aks, Mrs. Leah","female",18,"3rd","S","England",392091,9.07,"0","1","yes"
"16","Aldworth, Mr. Augustus Henry","male",35,"2nd","S","England",248744,13,"0","0","no"
"17","Alexander, Mr. William Albert","male",25,"3rd","S","England",3474,7.1709,"0","0","no"
"18","Alhomäki, Mr. Ilmari Rudolf","male",19,"3rd","S","Finland",3101287,7.1806,"0","0","no"
"19","Ali, Mr. Ahmed","male",24,"3rd","S","Argentina",3101311,7.01,"0","0","no"
"20","Ali, Mr. William","male",25,"3rd","S","Argentina",3101312,7.01,"0","0","no"
